iso3,gdp_usd,gdp_per_capita_usd,govt_revenue_pct_gdp,govt_expenditure_pct_gdp
LVA,43684254432.3609,23409.0845154775,34.1012233424727,34.1951936826963
MAC,49467258923.3244,72004.7437020733,27.4243671928547,19.5867260271728
MAF,649206262.847519,21668.3776525323,,
MCO,11125783372.4794,288001.433369041,,
MLT,24971574502.4475,43898.5781808597,33.3124008862171,33.6935052345347
MNP,1096000000.0,23785.754590043,,
NCL,8548919387.12607,29213.1923192946,,
NLD,1214927698572.66,67520.4218956281,39.3923519700942,39.9696990762123
NOR,483592648313.301,86785.4334489176,53.2899550206423,35.8939296791432
NRU,162588620.632234,13609.158837552,119.275373790323,103.596292774194
NZL,260172385097.616,49205.1792146792,34.4194893139302,35.5258252195945
OMN,107137198769.386,20285.2272897377,,
PAN,86523959131.7472,19161.2188501596,11.1554031256111,17.1412565540901
PLW,276733062.744141,15610.8231931032,23.9662798721261,58.345861021431
POL,917767106146.761,25103.565661423,35.8946310017879,39.0982392627941
PRI,126029527033.705,39343.7154660139,,
PRT,313271185085.102,29292.242104753,37.4297269462617,37.1595074085006
PYF,6323716355.05009,22439.8838746025,,
QAT,219162637362.637,76688.6941743178,,
ROU,382564217988.866,20080.2096215595,30.7097958467432,37.3030637489096
RUS,2173835806671.66,14889.0185546875,27.9899902586446,29.6042548935718
SAU,1239804533333.33,35121.6628687742,27.0815901753836,24.2191318731543
SGP,547386645891.847,90674.066632628,18.5525265576549,17.3034829398763
SMR,2027527227.831,59879.7173015651,41.2456881425456,40.4897504268959
SVK,140934076532.375,25992.6748502048,39.3323818777902,39.7740575217895
SVN,72972015197.3859,34301.0318686594,43.5255856136637,42.8744911319917
SWE,603715224265.798,57117.4877440616,33.0652807600438,32.505108387211
SXM,1797836665.95136,41472.5874498583,,
SYC,2167239562.46013,17858.8226383978,,
TCA,1745378000.0,37506.7798431288,,
TTO,25633544529.4849,18733.4110406494,24.2635768758849,33.3170063318443
URY,80961511073.5797,23906.5133029408,31.1107153639719,37.0207453769907
USA,28750956130731.2,84534.0407841548,18.1179765859408,24.8982825568771
VGB,,,,
VIR,4672000000.0,44320.909185774,,
AFG,17152234636.8715,413.757894705303,,
BDI,3082433067.32634,219.424830882698,14.1814044465422,12.2195039446055
BFA,23124729853.0218,981.992649769081,21.4101843068334,19.5686034183856
CAF,2751494281.06887,516.160999996036,9.20477924788893,11.6613898280077
COD,70962185790.7094,649.383338556725,13.2352471174197,12.4487617400964
ERI,,,,
ETH,149740297952.986,1133.88279681719,4.07207549838974,6.12162158603615
GMB,2404888749.21907,871.340291776294,,
GNB,2218393804.54798,1007.74151728028,10.1501591947891,15.1656365264112
LBR,4779300900.0,851.497723870206,,
MDG,17420501490.1231,544.987501003384,12.3430634554779,11.1514164395455
MLI,26794747239.8805,1094.61949265799,12.6624125935281,12.2360084788215
MOZ,22745341305.0622,656.776824637306,24.5228174752045,26.0040350878841
MWI,11316411329.4619,522.570393642547,14.1361846816996,20.1738542237372
NER,19876128485.7857,735.270255787226,,
PRK,,,,
RWA,14251642235.0968,999.65456165547,19.2932037558464,18.5668423445955
SDN,49672435513.1126,984.607666015625,,
SLE,6971127235.3123,806.654650417726,,
SOM,11967000000.0,629.538899449007,3.08643595525991,6.3426529909655
SSD,,,,
SYR,23622827079.5047,1051.67149587463,,
TCD,19518819751.283,961.55975562506,,
TGO,10651180146.531,1119.38160509429,15.5105986034597,15.8768600552922
UGA,53911907086.1525,1077.91278452817,14.0445688090372,16.5833400364579
YEM,21606160663.0318,633.887202451545,,
AGO,100998916781.079,2665.87444776753,18.6107758061654,14.6521024656345
BEN,21482643706.4249,1485.38018885134,,
BGD,450119432068.852,2593.41611680774,9.53881335234034,8.3242513417429
BOL,54881327452.9667,4421.16609889999,,
BTN,3012896789.24928,3831.32535494609,20.0284807729715,24.0761573964997
CIV,87113179149.284,2727.8935220697,13.3681230477413,17.8812303499603
CMR,53296694320.2057,1830.00833684727,13.7428346466617,12.4228090170574
COG,15719986076.6464,2482.2489948456,20.0514136790167,16.132138958121
COM,1440991455.45188,1662.75663312504,,
DJI,4152145939.98458,3552.72335079222,,
EGY,389059911003.566,3338.47371395895,,
FSM,471425099.488675,4166.00476748564,29.7040142106775,23.4257647968716
GHA,82308110386.4641,2390.77237652715,15.0222642370769,22.6789929507667
GIN,25008678293.4084,1694.95375862193,,
HND,37093565854.0437,3426.43483328923,22.2099126100845,24.3924492884403
HTI,25224154990.7946,2142.62330526788,,
IND,3909891533858.08,2694.73780859961,9.11011784382656,13.3335178491336
