iso3,country_name,income_group,gdp_usd,actual_contribution_usd,adjusted_target_usd,gap_usd,giving_rate,p_donate,pred_donation_usd,expected_contribution,donor_segment,imr,unga_alignment_score,wb_vote_share_score,ifc_presence_score,alignment_score,excluded_components
TUN,Tunisia,LMC,51332285656.5422,0.0,436351.7154579829,436351.7154579829,0.0,0.09600613160376414,38956418.171544865,436351.7154579829,Low Probability,1.774200101206066,,0.0,100,50.0,unga_alignment_score
KHM,Cambodia,LMC,46352647037.2406,0.0,412469.48480575555,412469.48480575555,0.0,0.10050095060786773,37439727.45967123,412469.48480575555,Low Probability,1.7526163763056355,,0.0,0,0.0,unga_alignment_score
TZA,Tanzania,LMC,78844405385.2195,0.0,382475.07422176376,382475.07422176376,0.0,0.05478796138224631,41312274.40899785,382475.07422176376,Low Probability,2.024216685473887,,0.0,0,0.0,unga_alignment_score
PRY,Paraguay,UMC,44458118397.4445,0.0,364194.8387595371,364194.8387595371,0.0,0.092519993667599,34198151.18507531,364194.8387595371,Low Probability,1.791503614733189,,0.0,100,50.0,unga_alignment_score
BOL,Bolivia,LMC,54881327452.9667,0.0,358912.67019613396,358912.67019613396,0.0,0.07386132056394872,36399921.57060266,358912.67019613396,Low Probability,1.8942480151319787,,0.0,0,0.0,unga_alignment_score
GEO,Georgia,UMC,34189423544.9955,0.0,356645.3619986717,356645.3619986717,0.0,0.11781421336498105,33365248.538838234,356645.3619986717,Low Probability,1.6760305435598988,,0.0,100,50.0,unga_alignment_score
COD,"Congo, Dem. Rep.",LIC,70962185790.7094,0.0,342306.7075281076,342306.7075281076,0.0,0.05448052834258712,39827601.76765957,342306.7075281076,Low Probability,2.0266021261824316,,0.0,0,0.0,unga_alignment_score
TKM,Turkmenistan,UMC,51387209872.2994,0.0,329989.8891521611,329989.8891521611,0.0,0.07252679416675398,34263998.492938794,329989.8891521611,Low Probability,1.902377966868195,,0.0,0,0.0,unga_alignment_score
ARM,Armenia,UMC,25955275380.0321,0.0,297866.4316532667,297866.4316532667,0.0,0.12961307297343794,27969613.710424118,297866.4316532667,Low Probability,1.6287625860806632,,0.0,100,50.0,unga_alignment_score
SLV,El Salvador,UMC,35364960000.0,0.0,294338.471465445,294338.471465445,0.0,0.09399975997158322,28392472.417063247,294338.471465445,Low Probability,1.7840960363711424,,0.0,0,0.0,unga_alignment_score
BIH,Bosnia and Herzegovina,UMC,29613572022.8993,0.0,275677.6665957717,275677.6665957717,0.0,0.1051389593516901,27654941.83570018,275677.6665957717,Low Probability,1.7311361410311223,,0.0,0,0.0,unga_alignment_score
HND,Honduras,LMC,37093565854.0437,0.0,275527.0626347276,275527.0626347276,0.0,0.08389161657575217,27253786.272178326,275527.0626347276,Low Probability,1.836702016520321,,0.0,0,0.0,unga_alignment_score
MMR,Myanmar,LMC,74068349523.8095,0.0,271516.12323624594,271516.12323624594,0.0,0.041401477716282296,36623009.9608459,271516.12323624594,Low Probability,2.14040745514048,,0.0,0,0.0,unga_alignment_score
ALB,Albania,UMC,27046429296.6673,0.0,265583.73320281017,265583.73320281017,0.0,0.11090328742497202,25527290.627414003,265583.73320281017,Low Probability,1.7054616996620187,,0.0,0,0.0,unga_alignment_score
CMR,Cameroon,LMC,53296694320.2057,0.0,264830.99861904874,264830.99861904874,0.0,0.05612048694560365,32449871.79368579,264830.99861904874,Low Probability,2.0140047631083373,,0.0,0,0.0,unga_alignment_score
VIR,Virgin Islands (U.S.),HIC,4672000000.0,0.0,256781.3754882133,256781.3754882133,0.0,0.21864136019053554,8899295.040562216,256781.3754882133,Emerging Prospect,1.3494305482301892,,0.0,0,0.0,unga_alignment_score
UGA,Uganda,LIC,53911907086.1525,0.0,255549.414981932,255549.414981932,0.0,0.053535650224585694,29869041.556636978,255549.414981932,Low Probability,2.0340047382642514,,0.0,0,0.0,unga_alignment_score
MNG,Mongolia,UMC,23794540024.5132,0.0,249359.06435300474,249359.06435300474,0.0,0.11835884856045248,23466956.43643312,249359.06435300474,Low Probability,1.6737692287192414,,0.0,0,0.0,unga_alignment_score
BRN,Brunei Darussalam,HIC,15340808592.48,0.0,231216.10944666096,231216.10944666096,0.0,0.17022475729042164,19910923.142461613,231216.10944666096,Low Probability,1.4878440613289114,,0.0,0,0.0,unga_alignment_score
ZWE,Zimbabwe,LMC,41539411516.4448,0.0,225303.08053974638,225303.08053974638,0.0,0.06125755742191751,25576806.188900404,225303.08053974638,Low Probability,1.9764349972671404,,0.0,0,0.0,unga_alignment_score
GUY,Guyana,HIC,24662709832.1343,0.0,209404.5227632375,209404.5227632375,0.0,0.0958954827466495,21744906.918732937,209404.5227632375,Low Probability,1.7747415167092657,,0.0,0,0.0,unga_alignment_score
SEN,Senegal,LMC,32808056600.9436,0.0,205883.33880536715,205883.33880536715,0.0,0.07087508335660536,24121787.810241964,205883.33880536715,Low Probability,1.91261167893545,,0.0,0,0.0,unga_alignment_score
NPL,Nepal,LMC,42914268286.7109,0.0,205735.80170542814,205735.80170542814,0.0,0.0541453352356654,24865208.489124384,205735.80170542814,Low Probability,2.0292158132541527,,0.0,0,0.0,unga_alignment_score
BHS,"Bahamas, The",HIC,15832800000.0,0.0,203369.5869675274,203369.5869675274,0.0,0.14507118763346893,18514064.421828896,203369.5869675274,Low Probability,1.571627769548146,,0.0,0,0.0,unga_alignment_score
TTO,Trinidad and Tobago,HIC,25633544529.4849,0.0,200925.8430428016,200925.8430428016,0.0,0.08852787131392742,17108630.826139476,200925.8430428016,Low Probability,1.811973580324682,,0.0,0,0.0,unga_alignment_score
MUS,Mauritius,UMC,14937861786.17,0.0,195021.80171089145,195021.80171089145,0.0,0.14745096298035765,16711539.769213062,195021.80171089145,Low Probability,1.5632511081438911,,0.0,0,0.0,unga_alignment_score
MKD,North Macedonia,UMC,16951682245.4202,0.0,192676.56242168497,192676.56242168497,0.0,0.12837160524955077,17353264.215634808,192676.56242168497,Low Probability,1.6335747595888062,,0.0,0,0.0,unga_alignment_score
GAB,Gabon,UMC,20895684425.6752,0.0,188209.500821735,188209.500821735,0.0,0.1017273725901724,20087589.89611255,188209.500821735,Low Probability,1.746861035786838,,0.0,0,0.0,unga_alignment_score
SMR,San Marino,HIC,2027527227.831,0.0,172829.30613634712,172829.30613634712,0.0,0.33909573306881896,6130981.5867977375,172829.30613634712,Emerging Prospect,1.0794480809999338,,0.0,0,0.0,unga_alignment_score
BWA,Botswana,UMC,19402063512.9066,0.0,171760.01423351973,171760.01423351973,0.0,0.09998319970752378,19043111.193134677,171760.01423351973,Low Probability,1.7550628625659652,,0.0,0,0.0,unga_alignment_score
MDA,Moldova,UMC,18200340853.6517,0.0,169816.95450744138,169816.95450744138,0.0,0.10537908229342374,16331940.684853692,169816.95450744138,Low Probability,1.7300446776927654,,0.0,0,0.0,unga_alignment_score
MCO,Monaco,HIC,11125783372.4794,0.0,167442.35883047213,167442.35883047213,0.0,0.1699760056996285,15412679.188220583,167442.35883047213,Low Probability,1.4886256545822891,,0.0,0,0.0,unga_alignment_score
SDN,Sudan,LIC,49672435513.1126,0.0,165509.95505708523,165509.95505708523,0.0,0.03763236841527233,25240248.972177833,165509.95505708523,Low Probability,2.1788618628835743,,0.0,0,0.0,unga_alignment_score
GIN,Guinea,LMC,25008678293.4084,0.0,159901.21561645082,159901.21561645082,0.0,0.072212754495869,19295097.667506795,159901.21561645082,Low Probability,1.9043088877414718,,0.0,0,0.0,unga_alignment_score
BMU,Bermuda,HIC,9233600000.0,0.0,154795.90662628663,154795.90662628663,0.0,0.18933953265559994,14097360.51898284,154795.90662628663,Low Probability,1.4301537853168853,,0.0,0,0.0,unga_alignment_score
LBN,Lebanon,LMC,20078620356.9931,0.0,151281.25281975695,151281.25281975695,0.0,0.08509501708350292,20041892.39405334,151281.25281975695,Low Probability,1.8301793549750462,,0.0,0,0.0,unga_alignment_score
PNG,Papua New Guinea,LMC,31800428265.5246,0.0,150817.21918352405,150817.21918352405,0.0,0.05356373412994635,19304907.8596444,150817.21918352405,Low Probability,2.0337831467253022,,0.0,0,0.0,unga_alignment_score
JAM,Jamaica,UMC,22014397089.7689,0.0,143068.1451944167,143068.1451944167,0.0,0.07339881298658134,17470305.65103646,143068.1451944167,Low Probability,1.8970519021742394,,0.0,0,0.0,unga_alignment_score
NIC,Nicaragua,LMC,19693982967.5926,0.0,139698.3887211039,139698.3887211039,0.0,0.08011442585639361,18524468.405839268,139698.3887211039,Low Probability,1.8576799018076728,,0.0,0,0.0,unga_alignment_score
KGZ,Kyrgyz Republic,LMC,17478259659.2625,0.0,136766.76467703402,136766.76467703402,0.0,0.08837618947466014,18525985.002906036,136766.76467703402,Low Probability,1.8127658758258498,,0.0,0,0.0,unga_alignment_score
